,word1,index,probability,cumsum
0,A,3,0.0001197365795250449,0.0001197365795250449
1,Absence,1,3.9912193175014965e-05,0.00015964877270005986
2,Absolvujete,2,7.982438635002993e-05,0.0002394731590500898
3,Aby,3,0.0001197365795250449,0.00035920973857513474
4,Abyste,7,0.00027938535222510476,0.0006385950908002396
5,Agresivní,1,3.9912193175014965e-05,0.0006785072839752545
6,Agresivním,1,3.9912193175014965e-05,0.0007184194771502695
7,Aktivita,2,7.982438635002993e-05,0.0007982438635002994
8,Aktivitou,2,7.982438635002993e-05,0.0008780682498503293
9,Aktivní,3,0.0001197365795250449,0.0009978048293753743
10,Aktivně,3,0.0001197365795250449,0.0011175414089004193
11,Aktuální,2,7.982438635002993e-05,0.0011973657952504492
12,Ale,8,0.0003192975454001197,0.0015166633406505689
13,Alespoň,8,0.0003192975454001197,0.0018359608860506885
14,Amatérští,1,3.9912193175014965e-05,0.0018758730792257036
15,Ambice,1,3.9912193175014965e-05,0.0019157852724007187
16,Ambiciózní,1,3.9912193175014965e-05,0.0019556974655757335
17,Ani,67,0.002674116942726003,0.0046298144083017365
18,Argumentovat,1,3.9912193175014965e-05,0.004669726601476751
19,Argumenty,3,0.0001197365795250449,0.004789463181001796
20,Arogance,1,3.9912193175014965e-05,0.0048293753741768105
21,Asi,33,0.001317102374775494,0.006146477748952305
22,Atmosféra,8,0.0003192975454001197,0.006465775294352424
23,Atmosféru,5,0.00019956096587507485,0.006665336260227499
24,Atraktivní,1,3.9912193175014965e-05,0.006705248453402514
25,Aura,13,0.0005188585112751946,0.0072241069646777085
26,Autem,1,3.9912193175014965e-05,0.007264019157852723
27,Auto,1,3.9912193175014965e-05,0.007303931351027738
28,Automatickou,1,3.9912193175014965e-05,0.007343843544202752
29,Automobil,1,3.9912193175014965e-05,0.007383755737377767
30,Autoritu,2,7.982438635002993e-05,0.007463580123727797
31,Avšak,1,3.9912193175014965e-05,0.007503492316902812
32,Azyl,1,3.9912193175014965e-05,0.007543404510077826
33,Ať,15,0.0005986828976252245,0.008142087407703051
34,Až,19,0.0007583316703252843,0.008900419078028335
35,BLÍŽENCI,1,3.9912193175014965e-05,0.00894033127120335
36,Balzámem,5,0.00019956096587507485,0.009139892237078425
37,Bavit,2,7.982438635002993e-05,0.009219716623428454
38,Bedlivě,3,0.0001197365795250449,0.009339453202953499
39,Berte,55,0.002195170624625823,0.011534623827579322
40,Bez,48,0.0019157852724007184,0.01345040909998004
41,Bezchybně,2,7.982438635002993e-05,0.013530233486330069
42,Bezezbytku,3,0.0001197365795250449,0.013649970065855114
